epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3489.83,0.83851,1.14868,1.04089,0.72214,0.76406,0.78764,0.58946,0.88045,1.03523,1.08772,0.000663854,0.000663854,0.000663854
2,5501.26,0.87857,0.89066,1.05965,0.78107,0.79473,0.84186,0.64722,0.83524,0.88378,1.04762,0.00130418,0.00130418,0.00130418
3,7614.53,0.88092,0.84523,1.05906,0.77501,0.79672,0.84774,0.65009,0.87177,0.87837,1.06815,0.0019181,0.0019181,0.0019181
